Title,Genres,Actors,Directors,Synopsis,Rating
A Minecraft Movie,"Family, Comedy, Adventure, Fantasy","Jason Momoa, Jack Black, Sebastian Eugene Hansen",Jared Hess,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",6.0
Carjackers,"Action, Adventure","Zoé Marchal, Franck Gastambide, Bosh",Kamel Guemra,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?",6.096
Deva,"Action, Thriller, Mystery, Crime","Shahid Kapoor, Pooja Hegde, Pavail Gulati",Rosshan Andrrews,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.",3.5
Fight or Flight,"Action, Thriller","Josh Hartnett, Katee Sackhoff, Marko Zaror",James Madigan,A mercenary takes on the job of tracking down a target on a plane but must protect her when they're surrounded by people trying to kill both of them.,4.188
Captain America: Brave New World,"Action, Thriller, Science Fiction","Anthony Mackie, Harrison Ford, Danny Ramirez",Julius Onah,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",6.089
Cleaner,"Action, Thriller","Daisy Ridley, Clive Owen, Taz Skylar",Martin Campbell,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",6.492
In the Lost Lands,"Fantasy, Adventure, Action","Milla Jovovich, Dave Bautista, Arly Jover",Paul W. S. Anderson,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce must outwit and outfight man and demon.",5.743
Ask Me What You Want,"Romance, Drama","Gabriela Andrada, Mario Ermito, Celia Freijeiro",Lucía Alemany,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",5.675
The Quiet Ones,"Action, Drama","Gustav Dyekjær Giese, Reda Kateb, Amanda Collin",Frederik Louis Hviid,"In 2008, a group of men from Denmark and across Europe pull off the biggest heist of all time on Danish soil. Kasper, a boxer with few chances left in life, is offered the opportunity to plan the robbery by its foreign initiators.",4.8
The Codes of War,"Action, War","Noah Gray-Cabey, Michael Grant","Paul Anderson, Joshua DeFour, Marielle Woods","War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",6.06
A Working Man,"Action, Crime, Thriller","Jason Statham, David Harbour, Michael Peña",David Ayer,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",6.487
Cosmic Chaos,"Thriller, Science Fiction","Curtis Bechdholt, Caroline Dhavernas, Ken Godmere",,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.",5.711
Mickey 17,"Science Fiction, Comedy, Adventure","Robert Pattinson, Naomi Ackie, Steven Yeun",Bong Joon Ho,"Unlikely hero Mickey Barnes finds himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job… to die, for a living.",7.0
